date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-11-07,kremp,P,SC,R,TRUMP,0.98,,,0.533
2016-11-07,kremp,P,SD,D,CLINTON,0.0,,,0.402
2016-11-07,kremp,P,SD,R,TRUMP,1.0,,,0.598
2016-11-07,kremp,P,TN,D,CLINTON,0.0,,,0.411
2016-11-07,kremp,P,TN,R,TRUMP,1.0,,,0.589
2016-11-07,kremp,P,TX,D,CLINTON,0.0,,,0.448
2016-11-07,kremp,P,TX,R,TRUMP,1.0,,,0.552
2016-11-07,kremp,P,UT,D,CLINTON,0.0,,,0.42
2016-11-07,kremp,P,UT,R,TRUMP,1.0,,,0.58
2016-11-07,kremp,P,VA,D,CLINTON,0.99,,,0.536
2016-11-07,kremp,P,VA,R,TRUMP,0.01,,,0.464
2016-11-07,kremp,P,VT,D,CLINTON,1.0,,,0.676
2016-11-07,kremp,P,VT,R,TRUMP,0.0,,,0.324
2016-11-07,kremp,P,WA,D,CLINTON,1.0,,,0.573
2016-11-07,kremp,P,WA,R,TRUMP,0.0,,,0.427
2016-11-07,kremp,P,WI,D,CLINTON,0.98,,,0.53
2016-11-07,kremp,P,WI,R,TRUMP,0.02,,,0.47
2016-11-07,kremp,P,WV,D,CLINTON,0.0,,,0.359
2016-11-07,kremp,P,WV,R,TRUMP,1.0,,,0.641
2016-11-07,kremp,P,WY,D,CLINTON,0.0,,,0.286
2016-11-07,kremp,P,WY,R,TRUMP,1.0,,,0.714
