date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-07-07,pec,P,CO,D,CLINTON,0.55,0.01,,
2016-07-07,pec,P,CO,R,TRUMP,0.45,-0.01,,
2016-07-07,pec,P,CT,D,CLINTON,0.84,0.075,,
2016-07-07,pec,P,CT,R,TRUMP,0.16,-0.075,,
2016-07-07,pec,P,DC,D,CLINTON,1.0,0.83,,
2016-07-07,pec,P,DC,R,TRUMP,0.0,-0.83,,
2016-07-07,pec,P,DE,D,CLINTON,0.99,0.19,,
2016-07-07,pec,P,DE,R,TRUMP,0.01,-0.19,,
2016-07-07,pec,P,FL,D,CLINTON,0.7,0.005,,
2016-07-07,pec,P,FL,R,TRUMP,0.3,-0.005,,
2016-07-07,pec,P,GA,D,CLINTON,0.3,-0.04,,
2016-07-07,pec,P,GA,R,TRUMP,0.7,0.04,,
2016-07-07,pec,P,HI,D,CLINTON,1.0,0.43,,
2016-07-07,pec,P,HI,R,TRUMP,0.0,-0.43,,
2016-07-07,pec,P,IA,D,CLINTON,0.65,0.03,,
2016-07-07,pec,P,IA,R,TRUMP,0.35,-0.03,,
2016-07-07,pec,P,ID,D,CLINTON,0.0,-0.32,,
2016-07-07,pec,P,ID,R,TRUMP,1.0,0.32,,
2016-07-07,pec,P,IL,D,CLINTON,1.0,0.25,,
2016-07-07,pec,P,IL,R,TRUMP,0.0,-0.25,,
2016-07-07,pec,P,IN,D,CLINTON,0.15,-0.075,,
2016-07-07,pec,P,IN,R,TRUMP,0.85,0.075,,
2016-07-07,pec,P,KS,D,CLINTON,0.42,-0.015,,
2016-07-07,pec,P,KS,R,TRUMP,0.58,0.015,,
2016-07-07,pec,P,KY,D,CLINTON,0.0,-0.23,,
2016-07-07,pec,P,KY,R,TRUMP,1.0,0.23,,
2016-07-07,pec,P,LA,D,CLINTON,0.02,-0.16,,
2016-07-07,pec,P,LA,R,TRUMP,0.98,0.16,,
2016-07-07,pec,P,MA,D,CLINTON,1.0,0.3,,
2016-07-07,pec,P,MA,R,TRUMP,0.0,-0.3,,
2016-07-07,pec,P,MD,D,CLINTON,1.0,0.35,,
2016-07-07,pec,P,MD,R,TRUMP,0.0,-0.35,,
2016-07-07,pec,P,ME,D,CLINTON,0.82,0.07,,
2016-07-07,pec,P,ME,R,TRUMP,0.18,-0.07,,
2016-07-07,pec,P,MI,D,CLINTON,0.91,0.11,,
2016-07-07,pec,P,MI,R,TRUMP,0.09,-0.11,,
2016-07-07,pec,P,MN,D,CLINTON,0.74,0.05,,
2016-07-07,pec,P,MN,R,TRUMP,0.26,-0.05,,
2016-07-07,pec,P,MO,D,CLINTON,0.42,-0.015,,
2016-07-07,pec,P,MO,R,TRUMP,0.58,0.015,,
2016-07-07,pec,P,MS,D,CLINTON,0.35,-0.13,,
2016-07-07,pec,P,MS,R,TRUMP,0.65,0.13,,
2016-07-07,pec,P,MT,D,CLINTON,0.03,-0.14,,
2016-07-07,pec,P,MT,R,TRUMP,0.97,0.14,,
2016-07-07,pec,P,NC,D,CLINTON,0.5,0.02,,
2016-07-07,pec,P,NC,R,TRUMP,0.5,-0.02,,
2016-07-07,pec,P,ND,D,CLINTON,0.0,-0.2,,
2016-07-07,pec,P,ND,R,TRUMP,1.0,0.2,,
2016-07-07,pec,P,NE,D,CLINTON,0.0,-0.205,,
2016-07-07,pec,P,NE,R,TRUMP,1.0,0.205,,
2016-07-07,pec,P,NH,D,CLINTON,0.7,0.04,,
2016-07-07,pec,P,NH,R,TRUMP,0.3,-0.04,,
2016-07-07,pec,P,NJ,D,CLINTON,0.93,0.12,,
2016-07-07,pec,P,NJ,R,TRUMP,0.07,-0.12,,
2016-07-07,pec,P,NM,D,CLINTON,0.85,0.08,,
2016-07-07,pec,P,NM,R,TRUMP,0.15,-0.08,,
