date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-10-01,predictwise_overall,P,VA,D,CLINTON,0.93,,,
2016-10-01,predictwise_overall,P,VA,R,TRUMP,0.07,,,
2016-10-01,predictwise_overall,P,VT,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,VT,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,WA,D,CLINTON,0.99,,,
2016-10-01,predictwise_overall,P,WA,R,TRUMP,0.01,,,
2016-10-01,predictwise_overall,P,WI,D,CLINTON,0.93,,,
2016-10-01,predictwise_overall,P,WI,R,TRUMP,0.07,,,
2016-10-01,predictwise_overall,P,WV,D,CLINTON,0.0,,,
2016-10-01,predictwise_overall,P,WV,R,TRUMP,1.0,,,
2016-10-01,predictwise_overall,P,WY,D,CLINTON,0.0,,,
2016-10-01,predictwise_overall,P,WY,R,TRUMP,1.0,,,
2016-10-01,predictwise_overall,S,AK,D,,0.01,,,
2016-10-01,predictwise_overall,S,AK,R,,0.99,,,
2016-10-01,predictwise_overall,S,AL,D,,0.01,,,
2016-10-01,predictwise_overall,S,AL,R,,0.99,,,
2016-10-01,predictwise_overall,S,AR,D,,0.01,,,
2016-10-01,predictwise_overall,S,AR,R,,0.99,,,
2016-10-01,predictwise_overall,S,AZ,D,,0.09,,,
2016-10-01,predictwise_overall,S,AZ,R,,0.91,,,
2016-10-01,predictwise_overall,S,CA,D,,1.0,,,
2016-10-01,predictwise_overall,S,CA,R,,0.0,,,
2016-10-01,predictwise_overall,S,CO,D,,0.93,,,
2016-10-01,predictwise_overall,S,CO,R,,0.07,,,
2016-10-01,predictwise_overall,S,CT,D,,0.99,,,
2016-10-01,predictwise_overall,S,CT,R,,0.01,,,
2016-10-01,predictwise_overall,S,FL,D,,0.18,,,
2016-10-01,predictwise_overall,S,FL,R,,0.82,,,
2016-10-01,predictwise_overall,S,GA,D,,0.03,,,
2016-10-01,predictwise_overall,S,GA,R,,0.97,,,
2016-10-01,predictwise_overall,S,HI,D,,1.0,,,
2016-10-01,predictwise_overall,S,HI,R,,0.0,,,
2016-10-01,predictwise_overall,S,IA,D,,0.07,,,
2016-10-01,predictwise_overall,S,IA,R,,0.93,,,
2016-10-01,predictwise_overall,S,ID,D,,0.01,,,
2016-10-01,predictwise_overall,S,ID,R,,0.99,,,
2016-10-01,predictwise_overall,S,IL,D,,0.83,,,
2016-10-01,predictwise_overall,S,IL,R,,0.17,,,
2016-10-01,predictwise_overall,S,IN,D,,0.63,,,
2016-10-01,predictwise_overall,S,IN,R,,0.37,,,
2016-10-01,predictwise_overall,S,KS,D,,0.01,,,
2016-10-01,predictwise_overall,S,KS,R,,0.99,,,
2016-10-01,predictwise_overall,S,KY,D,,0.05,,,
2016-10-01,predictwise_overall,S,KY,R,,0.95,,,
